FamilyID	Bombus_bifarius<1>	Bombus_pyrosoma<2>	Bombus_affinis<3>	Bombus_terrestris<4>	<5>	<6>	<7>
N0.HOG0009582	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009585	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009588	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009591	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009594	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009597	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009598	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009599	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009600	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009601	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009605	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009612	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009624	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009628	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009636	0.0163963	0.0336612	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009638	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009639	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009642	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009644	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009648	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009649	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009650	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009653	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009655	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009658	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009663	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009677	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009683	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009685	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009688	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009693	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009707	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009716	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009717	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009718	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009719	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009720	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0009721	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
